name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;991;0;968;3053;1638;3053;1455;0
header;160;99;160;134;1866;134;1866;99
A;997;167;997;199;1024;199;1024;167
A;1214;364;1214;369;1220;369;1220;364
A;1376;541;1376;547;1381;547;1381;541
A;1247;563;1247;590;1261;590;1261;563
A;1433;608;1433;634;1447;634;1447;608
B;997;853;997;885;1019;885;1019;853
C;1099;923;1099;957;1112;957;1112;923
C;996;1537;996;1570;1017;1570;1017;1537
C;1459;2185;1459;2221;1487;2221;1487;2185
D;993;2221;993;2253;1015;2253;1015;2221
A;1229;2629;1229;2655;1242;2655;1242;2629
