name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;942;0;942;3051;1626;3051;1603;0
header;110;68;110;103;1818;103;1818;68
A;949;138;949;171;976;171;976;138
B;1230;326;1230;341;1244;341;1244;326
A;1385;360;1385;386;1398;386;1398;360
A;1526;685;1526;691;1532;691;1532;685
B;955;826;955;858;979;858;979;826
A;1156;1088;1156;1114;1169;1114;1169;1088
A;1348;1326;1348;1342;1361;1342;1361;1326
C;958;1506;958;1540;979;1540;979;1506
A;1298;1913;1298;1940;1312;1940;1312;1913
A;1331;2188;1331;2215;1345;2215;1345;2188
D;959;2287;959;2319;982;2319;982;2287
B;1194;2614;1194;2633;1210;2633;1210;2614
B;1242;2678;1242;2705;1258;2705;1258;2678
